"","MouseAstroCulture","MouseNeuronCulture","MouseNeuronSlice","MouseInterneuronSlice"
"MouseBrainChIPNHMs_HindbrainEmbryo15.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo15.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo15.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo16.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo16.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo16.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainEmbryo16.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_HindbrainPostnatal0days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_HindbrainPostnatal0days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_HindbrainPostnatal0days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_HindbrainPostnatal0days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo10.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo10.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo11.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo11.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo11.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo11.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo12.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo12.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo12.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo12.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo13.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo13.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo13.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo13.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo14.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo14.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo14.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo14.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo15.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo15.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo15.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo15.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo16.5days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo16.5days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo16.5days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainEmbryo16.5days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainPostnatal0days_H3K4me2",0,0,0,0
"MouseBrainChIPNHMs_MidbrainPostnatal0days_H3K9ac",0,0,0,0
"MouseBrainChIPNHMs_MidbrainPostnatal0days_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_MidbrainPostnatal0days_H3K27ac",0,0,0,0
"MouseBrainChIPNHMs_OlfactoryBulbMaleAdult8Weeks_H3K4me3",0,0,0,0
"MouseBrainChIPNHMs_OlfactoryBulbMaleAdult8Weeks_H3K27ac",0,0,0,0
"MouseBrainChIPBHMs_CerebellumMaleAdult8Weeks_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_CerebellumMaleAdult8Weeks_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_CorticalPlateMaleAdult8Weeks_H3K4me1",7.64201634690157e-09,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo10.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo10.5days_H3K36me3",0,0,0,2.24755554344455e-232
"MouseBrainChIPBHMs_ForebrainEmbryo10.5days_H3K9me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo10.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo11.5days_H3K9me3",0,0.0557381363325368,3.99056482970764e-93,0
"MouseBrainChIPBHMs_ForebrainEmbryo11.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo11.5days_H3K36me3",0,0,0,1.96379565805383e-157
"MouseBrainChIPBHMs_ForebrainEmbryo11.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo12.5days_H3K9me3",0,0.247323167257907,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo12.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo12.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo12.5days_H3K36me3",0,0,0,1.07908921234383e-229
"MouseBrainChIPBHMs_ForebrainEmbryo13.5days_H3K9me3",0,2.01701255967876e-09,0,5.08564002218458e-318
"MouseBrainChIPBHMs_ForebrainEmbryo13.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo13.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo13.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo14.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo14.5days_H3K9me3",0,0.949523071412634,0.889031198321812,2.45223587655747e-72
"MouseBrainChIPBHMs_ForebrainEmbryo14.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo14.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo15.5days_H3K9me3",0,6.1387952638181e-113,7.54592905466811e-134,4.5572885533094e-17
"MouseBrainChIPBHMs_ForebrainEmbryo15.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo15.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo15.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo16.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo16.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo16.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainEmbryo16.5days_H3K9me3",0,1.77208189662357e-126,2.65518545183771e-95,2.31529376954224e-25
"MouseBrainChIPBHMs_ForebrainPostnatal0days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_ForebrainPostnatal0days_H3K36me3",0,0,0,9.98522352188779e-135
"MouseBrainChIPBHMs_ForebrainPostnatal0days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_ForebrainPostnatal0days_H3K9me3",6.33862500356853e-291,1.85530726098943e-91,1.17020028686094e-180,3.33574913573347e-79
"MouseBrainChIPBHMs_HindbrainEmbryo10.5days_H3K4me1",0,0,0,0
