"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"MethylHigh",0.0704326616181639,0.100732654839806,0.118096367036196,0.134767767264974,0.140478295147765,0.0287565249813572,0.0970643436382308,0.202472348731295,0.324612471066844,0.498733651650405,1,0.164025401910864,0.25337976605054,0.145861358489281,0.164332180741956,0.152434312210201,0.0600466235524139,0.130820399113082,0.270862700873978,0.0244458790617603,0.122297315490455,0.0593903372506641,0.113811780636425,0.0784984358706986,0.116162742536719,0.254639721911271,0.129184374454212
"H3K4me3",0.0799332656122813,0.144024180408996,0.175889757888418,0.194667406711639,0.32421906693712,0.0693010234522007,0.083064792595132,0.306468716861082,0.186984445864913,0.15511745226084,0.164025401910864,1,0.361078814447727,0.366744459737099,0.489543540013713,0.488625304136253,0.0508536407412812,0.155225947684678,0.325682270016266,0.0254424778761062,0.381645467718564,0.0430202671385834,0.428308361931866,0.162560096153846,0.497996281759967,0.513244690036263,0.399671225210731
"H3K9ac",0.165278714662415,0.278778091586219,0.327849550813697,0.359661183166841,0.277190811857978,0.041818791813858,0.165909748518663,0.308513546349168,0.209398011619488,0.203530577321445,0.25337976605054,0.361078814447727,1,0.411922323383658,0.463184667973496,0.382101071327883,0.137382152464025,0.202585632413701,0.612433364691126,0.023984373532671,0.261596905168508,0.0530555986954496,0.223889498085839,0.0972884906319097,0.257458690330477,0.387628007344451,0.273665115256349
"H2AFZ",0.156642293357398,0.259499800603885,0.333261903388252,0.356272885703656,0.211874328420445,0.0382422704007324,0.123882838903492,0.230811298165748,0.14838675793491,0.134510604312716,0.145861358489281,0.366744459737099,0.411922323383658,1,0.581577090757792,0.430841493210099,0.0833065335683137,0.106062959876848,0.407899370360458,0.027789943066449,0.1990753519183,0.0251317470456723,0.212978867894379,0.0772564915519525,0.276941515834806,0.293716700349072,0.267508894765882
"H3K4me2",0.137258133005457,0.245973117289634,0.321502701775452,0.344821560726914,0.283218634197988,0.0537247853005792,0.12140915486224,0.255102210265863,0.159514607821542,0.142462413652987,0.164332180741956,0.489543540013713,0.463184667973496,0.581577090757792,1,0.577326297682419,0.0767747836487723,0.165390581168938,0.472116289831022,0.0290893760539629,0.311940235154293,0.0409087658235392,0.269313612866169,0.101578405307657,0.346907883493249,0.372778604569728,0.362285000924727
"H3K27ac",0.101984847289085,0.184794889950135,0.230096457459233,0.26972300795218,0.343418590143481,0.0796368814524742,0.0982606519426891,0.210704375261337,0.116518279517722,0.10921868747499,0.152434312210201,0.488625304136253,0.382101071327883,0.430841493210099,0.577326297682419,1,0.0199122723973619,0.211616203283557,0.37751499571551,0.036738785938359,0.396978598405371,0.0463554355698953,0.369857542271335,0.142287857477731,0.467554922701383,0.429728361734436,0.463646828236319
"H3K27me3",0.113621283452874,0.141311748241168,0.157107136282751,0.130120609956963,0.0149120190873844,0.000487504490172936,0.120677407438979,0.204473960153792,0.131759203691824,0.0948722714412572,0.0600466235524139,0.0508536407412812,0.137382152464025,0.0833065335683137,0.0767747836487723,0.0199122723973619,1,0.0032295030732368,0.149444279499658,0.0105213528871684,0.00573223265313128,0.0214141414141414,0.00991222913668336,0.00382503402637631,0.0150242263207252,0.03154792858381,0.0190225343868891
"H3K36me3",0.111032112036632,0.133825414928207,0.139968859111069,0.184777107261047,0.349617584234824,0.0379464985730862,0.0987925687272289,0.0829083918476402,0.0415830593860735,0.0497460345749421,0.130820399113082,0.155225947684678,0.202585632413701,0.106062959876848,0.165390581168938,0.211616203283557,0.0032295030732368,1,0.17733348436792,0.0366721238279506,0.327448116058835,0.0505959620530285,0.182300218017388,0.133022026973058,0.154889669007021,0.238856667513922,0.208979492780002
"H3K4me1",0.170099416666159,0.286919382941651,0.35291824685924,0.36776323321757,0.246878731950928,0.0406122254967202,0.163956206175421,0.345078701088533,0.252053333333333,0.239297752302673,0.270862700873978,0.325682270016266,0.612433364691126,0.407899370360458,0.472116289831022,0.37751499571551,0.149444279499658,0.17733348436792,1,0.0267129764329357,0.246587517188181,0.0500289670896485,0.193562481794349,0.0860244988864143,0.233279282890302,0.346479377292655,0.270854825513144
"H3K9me3",0.0154463900690669,0.0172446668141222,0.0202187489217817,0.0236092412084657,0.0331121561553823,0.0224916254586058,0.0169800544767595,0.0175721301411909,0.0185680058975304,0.0200169719962063,0.0244458790617603,0.0254424778761062,0.023984373532671,0.027789943066449,0.0290893760539629,0.036738785938359,0.0105213528871684,0.0366721238279506,0.0267129764329357,1,0.0308649312571813,0.00742923017804534,0.0291325890991583,0.0205225748323155,0.0378268324046292,0.0286118114447246,0.0349471988544836
"H3K79me2",0.0846965911838182,0.129665175403873,0.144382060247445,0.178124641340526,0.377530196900336,0.0676043956043956,0.0810788046224858,0.170258970612112,0.0791590197560186,0.069540213841043,0.122297315490455,0.381645467718564,0.261596905168508,0.1990753519183,0.311940235154293,0.396978598405371,0.00573223265313128,0.327448116058835,0.246587517188181,0.0308649312571813,1,0.063628475808784,0.345478927203065,0.162209157903453,0.346978627996962,0.360448169065404,0.352830562153603
"H3K9me1",0.0139108910891089,0.0218262498464562,0.024332019653119,0.028523672042894,0.0450571841724727,0.0316125777703044,0.0250801853171775,0.0360036711682182,0.0408581644815256,0.0447242951907131,0.0593903372506641,0.0430202671385834,0.0530555986954496,0.0251317470456723,0.0409087658235392,0.0463554355698953,0.0214141414141414,0.0505959620530285,0.0500289670896485,0.00742923017804534,0.063628475808784,1,0.0487141444114738,0.0573499626905447,0.0424742042910957,0.0615789054409305,0.0513870359295211
"POLR2B",0.0529722798623989,0.0908694154128862,0.1054170861249,0.128356268284755,0.338524057217165,0.0908003938669292,0.0595818748684991,0.188909157241883,0.0935277008795599,0.0812799765679347,0.113811780636425,0.428308361931866,0.223889498085839,0.212978867894379,0.269313612866169,0.369857542271335,0.00991222913668336,0.182300218017388,0.193562481794349,0.0291325890991583,0.345478927203065,0.0487141444114738,1,0.308177379983727,0.581611111111111,0.460434571104265,0.450209242676506
"POLR2AphosphoS2",0.0252989071153616,0.0406011802311286,0.0450211036423323,0.0564278330885153,0.168567026194145,0.0996492139794725,0.0323248713623844,0.0796645161290323,0.0488821358801823,0.0513323983169705,0.0784984358706986,0.162560096153846,0.0972884906319097,0.0772564915519525,0.101578405307657,0.142287857477731,0.00382503402637631,0.133022026973058,0.0860244988864143,0.0205225748323155,0.162209157903453,0.0573499626905447,0.308177379983727,1,0.220740740740741,0.222208164642375,0.222594426643363
"POLR2A",0.0604693202593792,0.108560827334545,0.1296952145013,0.154900341252418,0.322825024437928,0.0919896000990467,0.0661835569723478,0.209268697404291,0.105851522590062,0.0909216192937123,0.116162742536719,0.497996281759967,0.257458690330477,0.276941515834806,0.346907883493249,0.467554922701383,0.0150242263207252,0.154889669007021,0.233279282890302,0.0378268324046292,0.346978627996962,0.0424742042910957,0.581611111111111,0.220740740740741,1,0.454431103487707,0.512945838837517
"POLR2G",0.0854723701708779,0.146809665214573,0.168721648078038,0.20037121403864,0.378234831856489,0.0652771318648797,0.0987052011411787,0.277621447112973,0.179725363489499,0.180715274850984,0.254639721911271,0.513244690036263,0.387628007344451,0.293716700349072,0.372778604569728,0.429728361734436,0.03154792858381,0.238856667513922,0.346479377292655,0.0286118114447246,0.360448169065404,0.0615789054409305,0.460434571104265,0.222208164642375,0.454431103487707,1,0.416559648529909
"POLR2AphosphoS5",0.072461514538952,0.133173447799155,0.156101708148624,0.18947027027027,0.322997779214573,0.080975954738331,0.0771772563494156,0.191239478892538,0.0996620620145847,0.0886655602679943,0.129184374454212,0.399671225210731,0.273665115256349,0.267508894765882,0.362285000924727,0.463646828236319,0.0190225343868891,0.208979492780002,0.270854825513144,0.0349471988544836,0.352830562153603,0.0513870359295211,0.450209242676506,0.222594426643363,0.512945838837517,0.416559648529909,1
