"","CHEX","ATAC","DNase","FAIRE","GRO","SE","RepOrig","MethylLow","MethylMidLow","MethylMidHigh","MethylHigh","H3K4me3","H3K9ac","H2AFZ","H3K4me2","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K9me3","H3K79me2","H3K9me1","POLR2B","POLR2AphosphoS2","POLR2A","POLR2G","POLR2AphosphoS5"
"MethylHigh",0.975083056478405,0.98,0.978369384359401,0.979966611018364,0.973154362416107,0.506802721088435,0.971524288107203,0.981636060100167,0.983277591973244,0.991568296795953,1,0.968280467445743,0.976470588235294,0.976549413735343,0.97319932998325,0.976549413735343,0.96271186440678,0.961214165261383,0.978187919463087,0.893939393939394,0.963087248322148,0.821428571428571,0.966386554621849,0.880952380952381,0.968120805369127,0.978151260504202,0.968067226890756
"H3K4me3",0.983361064891847,0.985,0.983361064891847,0.984974958263773,0.988195615514334,0.504230118443316,0.976549413735343,0.983333333333333,0.981666666666667,0.976627712854758,0.968280467445743,1,0.991554054054054,0.988235294117647,0.988215488215488,0.988235294117647,0.951260504201681,0.969594594594595,0.98655462184874,0.902192242833052,0.984771573604061,0.814189189189189,0.984771573604061,0.876480541455161,0.989847715736041,0.989881956155143,0.983108108108108
"H3K9ac",0.978369384359401,0.98,0.978369384359401,0.979966611018364,0.986486486486487,0.506802721088435,0.968227424749164,0.978333333333333,0.976666666666667,0.981543624161074,0.976470588235294,0.991554054054054,1,0.989881956155143,0.989864864864865,0.986531986531986,0.956081081081081,0.971186440677966,0.991554054054054,0.900337837837838,0.983050847457627,0.818336162988115,0.98641765704584,0.880952380952381,0.988135593220339,0.994915254237288,0.981387478849408
"H2AFZ",0.985024958402662,0.986666666666667,0.985024958402662,0.986644407345576,0.986531986531986,0.503378378378378,0.974916387959866,0.985,0.983333333333333,0.984924623115578,0.976549413735343,0.988235294117647,0.989881956155143,1,0.996621621621622,0.989915966386555,0.956228956228956,0.971283783783784,0.991582491582492,0.894295302013423,0.983108108108108,0.815878378378378,0.979763912310287,0.875,0.981481481481482,0.991568296795953,0.981450252951096
"H3K4me2",0.981697171381032,0.983333333333333,0.981697171381032,0.98330550918197,0.986509274873524,0.505084745762712,0.971571906354515,0.981666666666667,0.98,0.981574539363484,0.97319932998325,0.988215488215488,0.989864864864865,0.996621621621622,1,0.98989898989899,0.952861952861953,0.974576271186441,0.991568296795953,0.897306397306397,0.986440677966102,0.81864406779661,0.983079526226734,0.877966101694915,0.984797297297297,0.991554054054054,0.984771573604061
"H3K27ac",0.985024958402662,0.986666666666667,0.985024958402662,0.986644407345576,0.989881956155143,0.503378378378378,0.974916387959866,0.985,0.983333333333333,0.984924623115578,0.976549413735343,0.988235294117647,0.986531986531986,0.989915966386555,0.98989898989899,1,0.952941176470588,0.971283783783784,0.98489932885906,0.900673400673401,0.983108108108108,0.815878378378378,0.983108108108108,0.875,0.988175675675676,0.991568296795953,0.981450252951096
"H3K27me3",0.945182724252492,0.95,0.948419301164726,0.94991652754591,0.952782462057336,0.517482517482518,0.944630872483222,0.951585976627713,0.953177257525084,0.961214165261383,0.96271186440678,0.951260504201681,0.956081081081081,0.956228956228956,0.952861952861953,0.952941176470588,1,0.950596252129472,0.951260504201681,0.879456706281834,0.945945945945946,0.847368421052632,0.949238578680203,0.892173913043478,0.947723440134907,0.954468802698145,0.954237288135593
"H3K36me3",0.956738768718802,0.958333333333333,0.956738768718802,0.961538461538462,0.974533106960951,0.518260869565217,0.956302521008403,0.959933222036728,0.958263772954925,0.963025210084034,0.961214165261383,0.969594594594595,0.971186440677966,0.971283783783784,0.974576271186441,0.971283783783784,0.950596252129472,1,0.969594594594595,0.904109589041096,0.984562607204117,0.836805555555556,0.981164383561644,0.894280762564991,0.979522184300341,0.972881355932203,0.986277873070326
"H3K4me1",0.983361064891847,0.985,0.983361064891847,0.984974958263773,0.984848484848485,0.504230118443316,0.973244147157191,0.983333333333333,0.981666666666667,0.983249581239531,0.978187919463087,0.98655462184874,0.991554054054054,0.991582491582492,0.991568296795953,0.98489932885906,0.951260504201681,0.969594594594595,1,0.898989898989899,0.978077571669477,0.817258883248731,0.978077571669477,0.876480541455161,0.97979797979798,0.989881956155143,0.976430976430976
"H3K9me3",0.89351081530782,0.895,0.89351081530782,0.894824707846411,0.906779661016949,0.534926470588235,0.895622895622896,0.893333333333333,0.891666666666667,0.892797319932998,0.893939393939394,0.902192242833052,0.900337837837838,0.894295302013423,0.897306397306397,0.900673400673401,0.879456706281834,0.904109589041096,0.898989898989899,1,0.906303236797274,0.798941798941799,0.906303236797274,0.860670194003527,0.904923599320883,0.902027027027027,0.898305084745763
"H3K79me2",0.968386023294509,0.97,0.968386023294509,0.969949916527546,0.98641765704584,0.512027491408935,0.964765100671141,0.968333333333333,0.966666666666667,0.971476510067114,0.963087248322148,0.984771573604061,0.983050847457627,0.983108108108108,0.986440677966102,0.983108108108108,0.945945945945946,0.984562607204117,0.978077571669477,0.906303236797274,1,0.823630136986301,0.98974358974359,0.886792452830189,0.991467576791809,0.984745762711864,0.988054607508532
"H3K9me1",0.803660565723794,0.805,0.803660565723794,0.807692307692308,0.821428571428571,0.552683896620278,0.813874788494078,0.806343906510851,0.807692307692308,0.814502529510961,0.821428571428571,0.814189189189189,0.818336162988115,0.815878378378378,0.81864406779661,0.815878378378378,0.847368421052632,0.836805555555556,0.817258883248731,0.798941798941799,0.823630136986301,1,0.823630136986301,0.843462246777164,0.819420783645656,0.816949152542373,0.825342465753425
"POLR2B",0.968386023294509,0.97,0.968386023294509,0.969949916527546,0.98641765704584,0.512027491408935,0.961474036850921,0.968333333333333,0.966666666666667,0.971476510067114,0.966386554621849,0.984771573604061,0.98641765704584,0.979763912310287,0.983079526226734,0.983108108108108,0.949238578680203,0.981164383561644,0.978077571669477,0.906303236797274,0.98974358974359,0.823630136986301,1,0.886792452830189,0.994871794871795,0.98811544991511,0.984667802385009
"POLR2AphosphoS2",0.861896838602329,0.863333333333333,0.861896838602329,0.866220735785953,0.880952380952381,0.563218390804598,0.866779089376054,0.864774624373957,0.866220735785953,0.873524451939292,0.880952380952381,0.876480541455161,0.880952380952381,0.875,0.877966101694915,0.875,0.892173913043478,0.894280762564991,0.876480541455161,0.860670194003527,0.886792452830189,0.843462246777164,0.886792452830189,1,0.885470085470085,0.879456706281834,0.888507718696398
"POLR2A",0.973377703826955,0.975,0.973377703826955,0.974958263772955,0.988135593220339,0.509401709401709,0.966499162479062,0.973333333333333,0.971666666666667,0.97319932998325,0.968120805369127,0.989847715736041,0.988135593220339,0.981481481481482,0.984797297297297,0.988175675675676,0.947723440134907,0.979522184300341,0.97979797979798,0.904923599320883,0.991467576791809,0.819420783645656,0.994871794871795,0.885470085470085,1,0.989830508474576,0.986394557823129
"POLR2G",0.980033277870216,0.981666666666667,0.980033277870216,0.981636060100167,0.988175675675676,0.505942275042445,0.969899665551839,0.98,0.978333333333333,0.983221476510067,0.978151260504202,0.989881956155143,0.994915254237288,0.991568296795953,0.991554054054054,0.991568296795953,0.954468802698145,0.972881355932203,0.989881956155143,0.902027027027027,0.984745762711864,0.816949152542373,0.98811544991511,0.879456706281834,0.989830508474576,1,0.983079526226734
"POLR2AphosphoS5",0.970049916805324,0.971666666666667,0.970049916805324,0.974916387959866,0.984745762711864,0.51114922813036,0.969747899159664,0.973288814691152,0.971619365609349,0.976470588235294,0.968067226890756,0.983108108108108,0.981387478849408,0.981450252951096,0.984771573604061,0.981450252951096,0.954237288135593,0.986277873070326,0.976430976430976,0.898305084745763,0.988054607508532,0.825342465753425,0.984667802385009,0.888507718696398,0.986394557823129,0.983079526226734,1
