"","FlankUp5kByGene","FlankDn5kByGene","ExonByGene","IntronByGene"
"scCLTdegenNuc324",0.764705882352941,NA,NA,1.59090909090909
"scCLTdegenNuc325",1.81818181818182,1.04285714285714,NA,1.72014925373134
"scCLTdegenNuc446",1.10996563573883,1.62565445026178,1.2280701754386,1.34126333059885
"scCLTdegenNuc447",2.11538461538462,1.08064516129032,NA,0.613545816733068
"scCLTdegenNuc448",NA,NA,NA,2.1
"scCLTdegenNuc451",1.09494473636528,1.23407880724175,0.932926829268293,1.14061075660893
"scCLTdegenNuc452",1.19664268585132,1.24767801857585,NA,1.09377664109122
"scCLTdegenNuc454",1.26086956521739,0.9,NA,0.930232558139535
"scCLTdegenNuc455",1.01369863013699,1,NA,1.53370786516854
"scCLTdegenNuc456",0.875399361022364,1.05511811023622,NA,0.789766407119021
"scCLTdegenNuc457",1.3976401179941,1.28259551243178,1.36393442622951,1.23142201834862
"scCLTdegenNuc326",0.545454545454545,0.767326732673267,NA,1.1
"scCLTdegenNuc348",0.827956989247312,0.641975308641975,NA,1.50340136054422
"scCLTdegenNuc439",1.32476635514019,1.71042944785276,0.946236559139785,0.849936143039591
"scCLTdegenNuc440",1.61748013620885,1.1415770609319,0.795555555555556,1.10094850948509
"scCLTdegenNuc441",0.584507042253521,0.747368421052632,NA,0.742574257425743
"scCLTdegenNuc442",1.09808102345416,1.18020304568528,NA,1.29252259654889
"scCLTdegenNuc443",0.894366197183099,0.919753086419753,NA,1.13577586206897
"scCLTdegenNuc444",0.966257668711656,1.04528301886792,NA,1.10445468509985
"scCLTdegenNuc445",0.658415841584158,0.561643835616438,NA,1.1973018549747
"scCLTdegenNuc458",1.49766355140187,1.4036021285305,0.638510445049955,0.817694994179278
"scCLTdegenNuc459",1.6197628458498,1.69349195241428,1.00655737704918,0.868176914778857
"scCLTdegenNuc460",1.49350649350649,1.46676197283774,1.56382978723404,0.800684345594525
"scCLTdegenNuc462",2.04427736006683,2.58643549209587,1.33545647558386,0.804169514695831
"scCLTdegenNuc465",1.92124735729387,2.0571736785329,1.60446247464503,0.95908879590888
"scCLTdegenNuc466",2.13408239700375,2.09134948096886,1.76223776223776,0.952447552447552
"scCLTdegenNuc467",2.13859852884243,2.08258774948383,2.00916030534351,0.912742382271468
"scCLTdegenNuc468",1.65673781459063,1.65601092896175,1.53660322108346,0.958459468550286
"scCLTdegenNuc469",1.75631911532385,1.84855852726641,1.57894736842105,0.944073606350352
"scCLTdegenNuc473",1.07089552238806,1.59868421052632,NA,1.21149425287356
"scCLTdegenNuc474",1.2639751552795,0.914364640883978,0.574712643678161,1.25523012552301
"scCLTdegenNuc475",1.76712328767123,0.955223880597015,NA,0.948717948717949
"scCLTdegenNuc476",1.13333333333333,1.03886925795053,0.649350649350649,1.12855007473842
"scCLTdegenNuc477",1.22866894197952,1.0863309352518,NA,0.929161747343565
"scCLTdegenNuc478",1.27799227799228,1.25441696113074,1.32394366197183,1.16493656286044
"scCLTdegenNuc480",1.38257575757576,1.5,NA,1.37413073713491
"scCLTdegenNuc481",1.05078125,0.943333333333333,NA,1.23606557377049
"scCLTdegenNuc482",1.0197628458498,1.72602739726027,NA,1.30315789473684
